iataMain;iataSub;description
CCJ;CCJ;BOMBARDIER CHALLENGER 601
CCX;CCX;BOMBARDIER GLOBAL 5000/5500
CL3;CL3;BOMBARDIER CHALLENGER 300
CL5;CL5;BOMBARDIER CHALLENGER 350/3500
CL6;CL6;BOMBARDIER CHALLENGER 604
CL6;CL6;BOMBARDIER CHALLENGER 605
CL6;CL6;BOMBARDIER CHALLENGER 600
CL6;CL6;BOMBARDIER CHALLENGER 650
CL8;CL8;BOMBARDIER CHALLENGER 850
CNA;CNT;REIMS CESSNA 406 CARAVAN II
CNA;CN2;cessna 337f super skymaster
CNA;CN2;CESSNA 414 CHANCELLOR
CNA;CN2;CESSNA 310
CNA;CN2;CESSNA 340
CNA;CNT;CESSNA 425 CONQUEST I
CNA;CN2;CESSNA 421 GOLDEN EAGLE
CNA;CNT;CESSNA 441 CONQUEST II
CNA;CN1;CESSNA 177 CARDINAL
CNA;CN1;CESSNA 182 SKYLANE
CNA;CN1;CESSNA 206 SUPER SKYWAGON
CNA;CN1;CESSNA 172 SKYHAWK
CNA;CN1;CESSNA 210 CENTURION
CNA;CN1;Cessna 175 Skylark
CNF;CNF;CESSNA 208 CARAVAN I
CNJ;CJ6;CESSNA CITATION 650 VII
CNJ;CJL;CESSNA 560XL CITATION EXCEL
CNJ;CJ6;CESSNA 650 CITATION III
CNJ;CJ2;CESSNA 551 CITATION II/SP
CNJ;CJ2;CESSNA 550 CITATION II / BRAVO
CNJ;CJ8;Cessna 680 Cit.Sovereign
CNJ;CJ4;CESSNA CITATION 525C/CJ4
CNJ;CJ3;CESSNA CITATION 525B / CJ3
CNJ;CJ8;Cessna 680A Citation Latitude
CNJ;CJ7;Cessna 700 Citation Longitude
CNJ;CJ2;CESSNA CITATION 525A/CJ2
CNJ;CJ2;Cessna 550 Citation Bravo
CNJ;CJ5;CESSNA 560 CITATION V
CNJ;CJ1;CESSNA 501 CITATION I
CNJ;CJ1;CESSNA 500 CITATION
CNJ;CJX;CESSNA 750 CITATION X+
CNJ;CJ1;CESSNA CITATION 525/M2
CNJ;CJM;Cessna 510 Citation Mustang
CNJ;CJ1;CESSNA CITATION 525/CJ1
CRJ;CR2;CANADAIR REGIONALJET 200
CRJ;CRJ;CANADAIR REGIONALJET 100/200ER/LR
CRJ;CRK;Bombardier CRJ1000/CL-600-2E25
CRJ;CR7;BOMBARDIER CRJ700(CL-600-2C10)
CRJ;CR9;BOMBARDIER CRJ900(CL-600-2D24)
CS5;CS5;CASA/IPTN  CN-235
CS9;CS9;Airbus Military C-295
D38;D38;DASA/DORNIER 328-100
D42;D42;Diamond DA42 Twin Star
D62;D62;Diamond DA62
DC3;DC3;Douglas DC-3 Dakota
DFL;DF1;DASSAULT FALCON 10
DFL;DF2;DASSAULT FALCON 20
DFL;DF5;DASSAULT FALCON 50/50EX
DFL;DF9;DASSAULT FALCON 900B/C
DFL;D2L;DASSAULT FALCON 2000LX/LXS
DFL;D2L;FALCON 2000EX/LX
DFL;DF7;DASSAULT FALCON 7X
DFL;DF9;DASSAULT FALCON 900DX
DFL;D9L;DASSAULT FALCON 900 LX
DFL;DF9;DASSAULT FALCON 900EX
DFL;DF8;DASSAULT FALCON 8X
DFL;DF6;DASSAULT FALCON 6x
DFL;D20;DASSAULT FALCON 2000
DH8;DH1;DASH 8 DHC-8-102
DH8;DH3;DASH 8 DHC 8 SERIES 300
DH8;DH4;DASH 8 DHC SERIES 400
DHT;;de Havilland Canada DHC-6 Twin Otter
DO8;D08;DASA/DORNIER 228-100
E55;EP3;EMBRAER 505 PHENOM 300
E55;EM5;Embraer 550 Legacy 500
EAC;EA5;Eclipse 500
EC3;EC3;ec130b4
EC4;EC4;Eurocopter BK-117C2 (EC-145)
EC5;EC5;EUROCOPTER EC155B DAUPHIN
EC7;EC7;airbus eurocopter 175
EM2;EM2;EBRAER EMB-120 BRASILIA
EMJ;275;Embraer E175-E2 (EMB-190-500)
EMJ;295;EMBRAER ERJ-195-E2 (190-400STD)
EMJ;E7W;EMBRAER175(170-200 STD) Long WL
EMJ;E75;EMBRAER175(170-200 STD) Short WL
EMJ;E70;EMBRAER170
EMJ;E90;Embraer 190 (IGW)
EMJ;E95;Embraer 195 ERJ 190-200
EMJ;290;Embraer E190-E2 (ERJ190-300)
EML;EM4;EMBRAER-545 LEGACY 450
EML;;EXTRA EA-500
EML;;Embraer 545 Praetor 500
EML;EM5;Embraer 550 Praetor 600
EPH;EP1;EMBRAER 500 PHENOM 300
ERJ;ER3;EMB-135BJ Legacy 600
ERJ;ER3;EMBRAER 135BJ-Legacy 650
ERJ;ER3;Embraer 135
ERJ;ER4;EMBRAER 145
F50;F50;FOKKER 50
FRJ;FRJ;FAIRCHILD DORNIER 328JET
GA8;GA8;GA8 Airvan
GRJ;GJ4;GULFSTREAM IV/IV SP (G1159C)
GRJ;GR1;Gulfstream G150
GRJ;GJ3;GULFSTREAM III (G1159A)
GRJ;GJ5;GULFSTREAM V / G-1159D
GRJ;GA5;Gulfstream G-VII G500
GRJ;GJ6;Gulfstream G650
GRJ;GA6;Gulfstream G600
GRJ;GR3;Gulfstream G280
GRJ;GJ4;Gulfstream G450
GRJ;GJ5;Gulfstream Aerospace G-V-SP G550
GRJ;GJ7;Gulfstream G700
GRJ;GR2;IAI GULFSTREAM 200 (GALAXY)
H25;;BAE HAWKER SIDDELY 125-800
H25;H25;RAYTHEON HAWKER 125-800XP
H25;H25;Raytheon Hawker 800SP
HBA;H21;RAYTHEON HAWKER 125-1000
HBA;BE4;BEECH 400 BEECHJET
HBA;H24;Hawker 4000
HBA;H28;RAYTHEON HAWKER 125-850XP
HBA;H29;HAWKER 125-900XP
HBA;BE4;NEXTANT 400XT Beechjet
HBA;PR1;RAYTHEON RA390 PREMIER 1
HBA;H25;Hawker Beechcraft 750
HHJ;HHJ;Honda HA-420 HondaJet
IL7;IL7;Ilyushin Il-76
J32;J32;British Aerospace Jetstream 32
L4T;L4T;LET L-410 Turbolet
LRJ;LJ3;GATES LEARJET 31
LRJ;LJ4;BOMBARDIER LEARJET 40
LRJ;LJ7;Bombardier Learjet 75
LRJ;LJ6;BOMBARDIER LEARJET 60/60XR
LRJ;LJ3;GATES LEARJET 35
LRJ;LJ3;GATES LEARJET 36
LRJ;LJ6;BOMBARDIER LEARJET 55
LRJ;LJ4;BOMBARDIER LEARJET 45
M1F;M1F;MC DONNELL DOUGLAS MD-11 FREIGHTER
M80;M87;MCDONNEL DOUGLAS MD-87
M80;M82;MCDONNEL DOUGLAS MD-82
M80;M83;MCDONNEL DOUGLAS MD-83
MU2;MU2;Mitsubishi MU-2B-60 Marquise
NDE;NDE;AEROSPATIALE ECUREUIL AS 355
P18;P18;PIAGGIO P180 Avanti EVO
PA4;PA4;PIPER PA-46 MALIBU MERIDIAN
PA4;PA4;PIPER PA-46-600TP
PAF;PA1;PIPER Cheyenne 2XL
PAG;PA1;PIPER PA-31 CHEYENNE
PAG;PA1;PIPER PA46 MALIBU
PAG;PA2;PIPER PA-31 CHIEFTAIN/MOJAVE/NAVAJO
PAG;PA1;PIPER PA-28
PAG;PA2;PIPER PA-34 SENECA
PAG;PAC;PIPER PA-28-180 CHEROKEE CHALLENGER
PAG;PA1;PIPER PA-28 ARROW IV
PAG;PA1;PIPER PA-32 LANCE/SARATOGA
PAG;PA1;piper arrow 28RT-201T
PAG;;PIPER 30 TWIN COMMANCHE
PAG;PA1;PIPER PA-24 COMMANCE
PAT;PAT;PIPER PA-42 CHEYENNE III/IV
PL2;PL2;Pilatus PC-12
PL4;PL4;Pilatus PC-24
PN6;PN6;PARTENAVIA P68C/TC/OBSERVER
S20;S20;SAAB 2000
SF3;SFA;SAAB SF340
SU1;SU9;Sukhoi Superjet 100-95
SWM;;FAIRCHILD MERLIN IV/A/B/C
SWM;SWM;FAIRCHILD MERLIN IIIA/B/C
SWM;SWM;FAIRCHILD METRO III/IIIA
TB8;TB8;Socata TBM700N
TBM;TBM;AEROSPATIALE-SOCATA TBM-700
TBM;TBM;Daher-Socata TMB 859
TU5;TU5;TUPOLEV TU-154/154A/B/B2/C/M
;;BEECH SUPER KING AIR 300
;;SOCATA /MOONEY TBM700
;;ROBINSON R44 ASTRO
;;Guimbal Cabri G2
;;SOCATA-DAHER TBM850
;;CURTISS PITTS S2A SPECIAL
;;Noorduyn Harvard Mk.II T6
;;DIAMOND DA40-180
;;Agusta AW159 Wildcat/Lynx
;;EUROCOPTER EC-120 COLIBRI
;;EUROCOPTER AS-365N2 DAUPHIN 2
;;Mcdonnell Douglas Apache
;R66;Robinson R66 Turbine
;;Gulfstream Commander 690C
;;GENERAL DYNAMICS F16
;ASJ;IAI ASTRA 1125 SPX
;;EH Industries EH 101 Merlin
;;Alenia C-27J
;LOH;Lockheed C-130J-30 Hercules C4
;;DeHavilland Canada 1 Chipmunk
;PS2;Czech sport PS-28 Cruiser
;L2T;PZL-MIELEC M-28 Skytruck
;CN1;REIMS CESSNA 172 ROCKET
;;Fuji FA-200-180 Aero Subaru
;;AEROSTAR 200
;;SOCATA TRINIDAD TB-21
;;Airbus Helicopters H160
;;SOCATA-SNIAS HORIZON
;;ROBIN AVIONS DR400
;;GULFSTREAM AEROSPACE Gulfstream G100
;;SOCATA TAMPICO TB-09
;;AMERICAN GENERAL AG-5B
;;MOONEY TURBO 231
;;PIPER PA-28 ARROW III
;;CIRRUS SR-20
;;American Champion Decathlon
;;CIRRUS SR-22
;;TECNAM P-2002
;;EPIC E1000
;;Pipistrel Virus SW 128 Piston
;;DIAMOND DA50 RG
;;Pipistrel Velis SW128 Electro
;;BRM Aero, s.r.o. Bristell B23
;;Cirrus SR22T
;;AQUILA A210
;;Cirrus Vision SF50
;;Socata Daher TBM900/910/930/960
;;Boeing Stearman Model B75N1
;;NH-90 Helicopter NHIndustries
;;BOEING CH-47D CHINOOK
;AI4;Airbus A400M
;;Sikorsky S-61 VH-3D Sea King
;;EMBRAER XINGU EMB-121/A/A1
;;EUROCOPTER EC135
;;F-35 Lightning II
;;BOMBARDIER GLOBAL 8000
;;TECNAM P2010 TDI
;;Beta Technologies Alia CX300
