name;country;iata;city
Aripuana, MT;Brazil;AIR;
Arorae;Kiribati;AIS;
Aitutaki;Cook Islands;AIT;
Atiu;Cook Islands;AIU;
George Downer, AL;USA;AIV;Aliceville
Ai-Ais;Namibia;AIW;
Bader Field, NJ;USA;AIY;Atlantic City
Lee C. Fine Memo;USA;AIZ;Kaiser-Lake Ozark
Ajaccio;France;AJA;Ajaccio
Jouf;Saudia Arabia;AJF;
Agri;Türkiye;AJI;
Akjoujt;Mauritania;AJJ;
Aizwal;India;AJL;
Ouani;Comoros;AJN;Anjouan
Al-Jouf;Saudia Arabia;AJO;
Arvidsjaur;Sweden;AJR;Arvidsjaur
Abreojos;Mexico;AJS;
Aracaju;Brasil;AJU;Aracaju
Manu Dayak;Niger;AJY;Agades
Ankang;China;AKA;
Atka, AK;USA;AKB;Atka, AK
Fulton Int'l, OH;USA;AKC;Akron
Akola;India;AKD;
Akieni;Gabon;AKE;
Kufrah;Libya;AKF;Kufrah
Anguganak;Papua New Guin;AKG;
Al Kharj Airport;Saudi Arabia;AKH;Al Kharj Airport
Akiak, AK;USA;AKI;
Asahikawa;Japan;AKJ;
Akhiok SPB, AK;USA;AKK;Akhiok
Auckland;New Zealand;AKL;Auckland
Zakouma;Chad;AKM;
King Salmon, AK;USA;AKN;
Washington County, CO;USA;AKO;Akron
Anaktuvuk, AK;USA;AKP;
Gunung Batin;Indonesia;AKQ;Astraksetra
Akure;Nigeria;AKR;
Gwaunarru'u' (Malaita Island);Solomon Island;AKS;Auki
Akrotiri;Cyprus;AKT;Akrotiri
Aksu;China;AKU;
Akulivik, QU;Canada;AKV;
Aktyubinsk;Kazakstan;AKX;Aktyubinsk
Sittwe;Myanmar;AKY;
Almaty;Kazakhstan;ALA;Alma Ata
Albany;USA;ALB;Albany
Alicante;Spain;ALC;Alicante
Alerta;Peru;ALD;
Alpine, TX;USA;ALE;
Alta;Norway;ALF;Alta
Algiers;Algeria;ALG;Algiers
Albany, WA;Australia;ALH;
Int'l, TX;USA;ALI;Alice
Kortdoorn;South Africa;ALJ;Alexander Bay
Asela;Ethiopia;ALK;
Albenga;Italy;ALL;Albenga
White Sands Regional, N;USA;ALM;Alamogordo
St.Louis Regional, IL;USA;ALN;Alton
Waterloo;USA;ALO;Waterloo
Aleppo;Syria;ALP;Aleppo
Federal, RS;Brazil;ALQ;Alegrete
Alexandra;New Zealand;ALR;
Municipal, CO;USA;ALS;Alamosa
ALENQUER;Brasil;ALT;ALENQUER
Alula;Somalia;ALU;
Heliport;Andorra;ALV;Andorra La Vella
Walla Walla;USA;ALW;Walla Walla
Thomas C. Russell F;USA;ALX;Alexander City
Alexandria;Egypt;ALY;Alexandria
SPB, AK;USA;ALZ;Alitak
Amarillo;USA;AMA;Amarillo
Ambilobe;Madagascar;AMB;
Am Timan;Chad;AMC;
Ahmedabad;India;AMD;Ahmedabad
Alto Molocue;Mozambique;AME;
Ama;Papua New Guin;AMF;
Amboin;Papua New Guin;AMG;
Arba Minch;Ethiopia;AMH;
Selaparang;Indonesia;AMI;Mataram
Almenara, MG;Brazil;AMJ;
Animas Airpark, CO;USA;AMK;Durango
Puerto Armuellas;Panama;AML;
Amman;Jordania;AMM;Amman
Gratiot Community, MI;USA;AMN;Alma
Mao;Chad;AMO;
Ampanihy;Madagascar;AMP;
Pattimura;Indonesia;AMQ;Ambon
Arno;Marshall Islan;AMR;
Amsterdam;The Netherlands;AMS;Amsterdam
Amata, NT;Australia;AMT;
Amanab;Papua New Guin;AMU;
Amderma;Russia (CIS);AMV;
Ames, IA;USA;AMW;
Ammaroo, NT;Australia;AMX;
Ambatomainty;Madagascar;AMY;
Ardmore;New Zealand;AMZ;
Anaheim, CA;USA;ANA;
Metropolitan, AL;USA;ANB;Anniston
Anchorage;USA;ANC;Anchorage
County, SC;USA;AND;Anderson
Angers;France;ANE;Angers
Cerro Morena Int'l;Chile;ANF;Antofagasta
Angouleme;France;ANG;Angouleme
Anuha Island Resort;Solomon Island;ANH;
Aniak, AK;USA;ANI;
Zanaga;Congo (the);ANJ;
Ankara;Türkiye;ANK;Ankara
Andulo;Angola;ANL;
Antalaha;Madagascar;ANM;
Annette Island, AK;USA;ANN;
Angoche;Mozambique;ANO;
Lee, MO;USA;ANP;Annapolis
Tri-State Steuben County, I;USA;ANQ;Angola
Antwerp;Belgium;ANR;Antwerp
Andahuaylas;Peru;ANS;Andahuaylas
Saint Anton;Austria;ANT;Saint Anton
Antigua;Virgin Islands;ANU;Antigua
Anvik, AK;USA;ANV;
Ainsworth, NE;USA;ANW;
Andoya;Norway;ANX;Andenes
Anthony, KS;USA;ANY;
Angus Downs, NT;Australia;ANZ;
Aroa;Papua New Guin;AOA;
Annanberg;Papua New Guin;AOB;
Nobitz;Germany;AOC;Kindsbach
Abou Deia;Chad;AOD;
Eskisehir H Polatkan;Türkiye;AOE;Eskisehir
Anshan;China;AOG;
Allen County, OH;USA;AOH;Lima
Ancona;Italy;AOI;Ancona
Aomori;Japan;AOJ;
Karpathos;Greece;AOK;Karpathos
Paso de los Libres, CR;Argentina;AOL;
Arona;Papua New Guin;AON;
Blair County,;USA;AOO;Altoona-Martinsburg
Sultan Abdul Halim;Malaysia;AOR;Alor Setar
Amook, AK;USA;AOS;
Aosta;Italy;AOT;Aosta
Attopeu;Laos;AOU;
Centennial;USA;APA;Denver
Apolo;Bolivia;APB;
Napa, CA;USA;APC;
San Juan Aposento;Peru;APE;
Naples;USA;APF;Naples
Phillips AAF (Proving Gro;USA;APG;Aberdeen
Camp A.P. Hill, VA;USA;APH;Bowling Green
Apiay, ME;Colombia;API;
Apataki, TU;French Polynes;APK;
Nampula;Mozambique;APL;
County Regional, MI;USA;APN;Alpena
Apartado;Colombia;APO;
Asapa;Papua New Guin;APP;
Arapiraca, AL;Brazil;APQ;
April River;Papua New Guin;APR;
Anapolis, GO;Brazil;APS;
Marion County, TN;USA;APT;Jasper
Apucarana, PR;Brazil;APU;
Apple Valley, CA;USA;APV;
Apia;Samoa;APW;Apia
Arapongas, PR;Brazil;APX;
Alto Parnaiba, MA;Brazil;APY;
Zapala, NE;Argentina;APZ;
Araraquara, SP;Brazil;AQA;
Quiche;Guatemala;AQB;
Anqing;China;AQG;
Qaisumah;Saudia Arabia;AQI;
Aqaba;Jordania;AQJ;Aqaba
Ariquemes, RO;Brazil;AQM;
Arequipa;Peru;AQP;Arequipa
Saqani;Fiji;AQS;
Alyeska, AK;USA;AQY;
Acadiana Regional, LA;USA;ARA;New Iberia
Municipal, MI;USA;ARB;Ann Arbor
Arctic Village, AK;USA;ARC;
Alor Island;Indonesia;ARD;
Arecibo;Puerto Rico;ARE;
Acaricuara;Colombia;ARF;
Walnut Ridge, AR;USA;ARG;Walnut Ridge, AR
Talagi;Russia (CIS);ARH;Arkhangelsk
Arica;Chili;ARI;Arica
Arso;Indonesia;ARJ;
Arusha;Tanzania;ARK;
Arli;Burkina Faso;ARL;
Armidale, NS;Australia;ARM;
Stockholm;Sweden;ARN;Stockholm
Arboletas;Colombia;ARO;
Aragip;Papua New Guin;ARP;
Arauquita;Colombia;ARQ;
Alto Rio Senguerr, CH;Argentina;ARR;
Aragarcas, GO;Brazil;ARS;
Int'l, NY;USA;ART;Watertown
Aracatuba, SP;Brazil;ARU;
Noble F.Lee, WI;USA;ARV;Minocqua
Arad;Romania;ARW;Arad
Asbury Park, NJ;USA;ARX;
Ararat, VI;Australia;ARY;
N'Zeto;Angola;ARZ;
Assab;Eritrea;ASA;
Ashkhabad;Turkmenistan;ASB;Ashkhabad
Ascension;Saint Helena;ASC;Ascension
Andros Town, Andros Island;Bahamas;ASD;
Aspen;USA;ASE;Aspen
Narimanovo;Russia (CIS);ASF;Astrakhan
Ashburton;New Zealand;ASG;
Boire Field, NH;USA;ASH;Nashua
Wideawake Field;St. Helena;ASI;Georgetown
Amami O Shima;Japan;ASJ;
Yamoussoukro;Côte d'Ivoire;ASK;
Harrison County, TX;USA;ASL;Marshall
Asmara;Eritrea;ASM;Asmara
Talladega, AL;USA;ASN;
Assosa;Ethiopia;ASO;
Alice Springs;Australia;ASP;Alice Springs
Austin, NV;USA;ASQ;
Kayseri;Türkiye;ASR;Kayseri
Astoria, OR;USA;AST;
Asuncion;Paraguay;ASU;Asuncion
Amboseli;Kenya;ASV;
Aswan;Egypt;ASW;Aswan
Ashland, WI;USA;ASX;
Ashley, ND;USA;ASY;
Asirim;Papua New Guin;ASZ;
Comandante FAP German Arias G;Peru;ATA;Anta
Atbara;Sudan;ATB;
Arthur's Town, Cay Island;Bahamas;ATC;
Atoifi, Uru Harbour (Malaita Islan;Solomon Island;ATD;
Antlers, OK;USA;ATE;
Ambato;Ecuador;ATF;
Athens;Greece;ATH;Athens
Int'l;Uruguay;ATI;Artigas
Antsirabe;Madagascar;ATJ;
Atqasuk, AK;USA;ATK;
Atlanta;USA;ATL;Atlanta
Altamira, PA;Brazil;ATM;
Namatanai;Papua New Guin;ATN;
Ohio University, OH;USA;ATO;Athens
Airstrip;Papua New Guin;ATP;Aitape
Raja Sansi;India;ATQ;Amritsar
Mouakchott;Mauritania;ATR;Atar
Artesia, NM;USA;ATS;
Atmautluak, AK;USA;ATT;
Casco Cove, AK;USA;ATU;Attu Island
Ati;Chad;ATV;
Appleton;USA;ATW;Appleton
Atbasar;Kazakstan;ATX;
Municipal, SD;USA;ATY;Watertown
Asyut;Egypt;ATZ;
Aruba;Aruba;AUA;Aruba
Itauba, MT;Brazil;AUB;
Santiago Perez, AR;Colombia;AUC;Arauca
Augustus Downs, QL;Australia;AUD;
Abu Rudeis;Egypt;AUE;
Auxerre;France;AUF;Auxerre
Augusta;USA;AUG;Augusta
Abu Dhabi;United Arab Emirates (the);AUH;Abu Dhabi
Aua Island;Papua New Guin;AUI;
Ambunti;Papua New Guin;AUJ;
Alakanuk, AK;USA;AUK;
Aur Island;Marshall Islan;AUL;
Austin, MN;USA;AUM;
Auburn, CA;USA;AUN;
Opelika, AL;USA;AUO;Auburn
Agaun;Papua New Guin;AUP;
Atuona, MA;French Polynes;AUQ;
Aurillac;France;AUR;Aurillac
Austin;USA;AUS;Austin
Atauro;Indonesia;AUT;
Aurukun Mission, QL;Australia;AUU;
Municipal, WI;USA;AUW;Wausau
Metz;France;AUX;Auxerre
Aneityum;Vanuatu;AUY;
Municipal, IL;USA;AUZ;Aurora
Aviano;Italy;AVB;Aviano
Avoriaz;France;AVF;
Auvergne, NT;Australia;AVG;
Ciego de avi;Cuba;AVI;Ciego De Avila
Arvaikheer;Mongolia;AVK;
Asheville;USA;AVL;Asheville
Avignon;France;AVN;Avignon
Avon Park, FL;USA;AVO;
Wilkes-Barre;USA;AVP;Wilkes-Barre
Haimarau (Guadalcanal Isla;Solomon Island;AVU;Avu Avu
Avalon;Australia;AVV;Avalon, VI
Avra Valley, AZ;USA;AVW;Tucson
Avalon Bay, CA;USA;AVX;Catalina Island
Lake Awasa;Ethiopia;AWA;Awasa
Awaba;Papua New Guin;AWB;
Aniwa;Vanuatu;AWD;
Alowe;Gabon;AWE;
Awareh;Ethiopia;AWH;
Wake Island;Micronesia;AWK;
Municipal, AR;USA;AWM;West Memphis
Alton Downs, SA;Australia;AWN;
Austral Downs, NT;Australia;AWP;
Awar;Papua New Guin;AWR;
Ahwaz;Iran;AWZ;
Wallblake;Anguilla;AXA;Anguilla
Alexandria Bay, NY;USA;AXB;
Aramac, QL;Australia;AXC;
Alexandr.Pls;Greece;AXD;Alexandroupolis
Xanxere, SC;Brazil;AXE;
Algona, IA;USA;AXG;
Ataq;Yemen;AXK;
Alexandria, NT;Australia;AXL;
Armenia, QU;Colombia;AXM;
Chandler Field, MN;USA;AXN;Alexandria
Spring Point, Acklins Island;Bahamas;AXP;
Arutua, TU;French Polynes;AXR;
Municipal, OK;USA;AXS;Altus
Akita;Japan;AXT;Akita
Axum;Ethiopia;AXU;
Neil Armstrong, OH;USA;AXV;Wapakoneta
Angel Fire, NM;USA;AXX;
Ayapel;Colombia;AYA;
Ayacucho;Colombia;AYC;
Alroy Downs, NT;Australia;AYD;
Ayer Moore AAF, MA;USA;AYE;Fort Devens
Yaguara, CQ;Colombia;AYG;
RAF;United Kingdom of Great Britain and Northern Ireland;AYH;Alconbury
Yari;Colombia;AYI;
Arkalyk;Kazakstan;AYK;
Anthony Lagoon, NT;Australia;AYL;
Anyang;China;AYN;
Ayolas;Paraguay;AYO;
Coronel FAP Alfredo Mendi;Peru;AYP;Ayacucho
Connellan, NT;Australia;AYQ;Ayers Rock
Ayr, QL;Australia;AYR;
Ware County, GA;USA;AYS;Waycross
Antalya;Türkiye;AYT;Antalya
Aiyura;Papua New Guin;AYU;
Ayawasi;Indonesia;AYW;
Zahns, NY;USA;AYZ;Amityville
Amazon Bay;Papua New Guin;AZB;
Yazd;Iran;AZD;
Apatzingan;Mexico;AZG;
Al Bateen;United Arab Emirates (the);AZI;Abu Dhabi
Andizhan;Uzbekistan;AZN;
Kalamazoo;USA;AZO;Kalamazoo
Atizapan;Mexico;AZP;Mexico City
Touat;Algeria;AZR;Adrar
Zapatoca;Colombia;AZT;
Ambriz;Angola;AZZ;
Bialla;Papua New Guin;BAA;
Beale AFB, CA;USA;BAB;Marysville
Barranca de Cupia;Colombia;BAC;
Barksdale;USA;BAD;Shreveport-Bossier C
Saint-Pons;France;BAE;Barcelonnette
Westfield.Ma;USA;BAF;Westfield
Baguio, BE;Philippines;BAG;
Bahrain;Bahrain;BAH;Bahrain
Buenos Aires;Costa Rica;BAI;
Bali;Papua New Guin;BAJ;
Bakoe;Azerbaijani;BAK;Bakoe
Batman;Türkiye;BAL;
Lander County, NV;USA;BAM;Battle Mountain
Basongo;Congo (the Democratic Republic of the);BAN;
Udorn;Thailand;BAO;Ban Mak Khaen
Baibara;Papua New Guin;BAP;
Barranquilla;Colombia;BAQ;Barranquilla
AAF;USA;BAR;Baker Island
Ballalae (Shortland Islands);Solomon Island;BAS;
Chafei Amsei, SP;Brazil;BAT;Barretos
Bauru, SP;Brazil;BAU;
Baotou;China;BAV;
Biawonque;Gabon;BAW;
Barnaul;Russia (CIS);BAX;
Tauti Magheraus;Romania;BAY;Baia Mare
Barbelos, AM;Brazil;BAZ;
Teniente Vidal;Chile;BBA;Balmaceda
Municipal, MN;USA;BBB;Benson
Bay City, TX;USA;BBC;
Curtis Field, TX;USA;BBD;Brady
Big Bell, WA;Australia;BBE;
Burlington, MA;USA;BBF;
Butaritari;Kiribati;BBG;
Barth;Germany;BBH;Barth
Bhubaneshwar;India;BBI;
Bitburg;Germany;BBJ;Bitburg
Kasane;Botswana;BBK;
Babolsar;Iran;BBL;
Battambang;Kampuchea;BBM;
Bario;Malaysia;BBN;
Berbera;Somalia;BBO;Berbera
Bembridge;United Kingdom of Great Britain and Northern Ireland;BBP;Bembridge
Codrington, Barbuda;Antigua & Barb;BBQ;
Ballif;Guadeloupe;BBR;Basse-Terre
Blackbushe;United Kingdom of Great Britain and Northern Ireland;BBS;Blackbush
Berberati;Central Africa;BBT;
Bucharest;Romania;BBU;Bucharest
Bereby;Côte d'Ivoire;BBV;
Broken Bow, NE;USA;BBW;
Blue Bell;USA;BBX;Blue Bell
Bambari;Central Africa;BBY;
Zambezi;Zambia;BBZ;
Oriente;Cuba;BCA;Baracoa
Virginia Tech, VA;USA;BCB;Blacksburg
Bear Creek, AK;USA;BCC;
Bacolod, NO;Philippines;BCD;
Bryce Canyon, UT;USA;BCE;
Bouca;Central Africa;BCF;
Bemichi;Guyana;BCG;
Cakung;Indonesia;BCH;Baucau
Barcaldine, QL;Australia;BCI;
Boca Grande, CO;USA;BCJ;
Bolwarra, QL;Australia;BCK;
Barra del Colorado;Costa Rica;BCL;
Bacau;Romania;BCM;Bacau
Barcelona;Spain;BCN;Barcelona
Jinka;Ethiopia;BCO;
Bambu;Papua New Guin;BCP;
Brack;Libya;BCQ;
Boca do Acre, AM;Brazil;BCR;
Southern Seaplane, LA;USA;BCS;Belle Chasse
Boca Raton;USA;BCT;Boca Raton, FL
Bauchi;Nigeria;BCU;
Belmopan;Belize;BCV;
Benguera Island;Mozambique;BCW;
Beloreck;Russia (CIS);BCX;
Bulchi;Ethiopia;BCY;
Bickerton Island, NT;Australia;BCZ;
Hamilton;Bermuda Islands;BDA;Hamilton
Bundaberg, QL;Australia;BDB;
Barra do Corda, MA;Brazil;BDC;
Badu Island, QL;Australia;BDD;
Int'l, MN;USA;BDE;Baudette
Rinkenberger, IL;USA;BDF;Bradford
Blanding, UT;USA;BDG;
Bandar Lengheh;Iran;BDH;
Bird Island;Seychelles;BDI;
Banjarmasin;Indonesia;BDJ;Banjarmasin
Soko;Côte d'Ivoire;BDK;Bondoukou
Hartford Springfield;USA;BDL;Hartford CT
Bandirma;Türkiye;BDM;Bandirma
Talhar;Pakistan;BDN;Badin
Bandung;Indonesia;BDO;Bandung
Bhadrapur;Nepal;BDP;
Vadodara;India;BDQ;
Bridgeport;USA;BDR;Bridgeport
Brindisi;Italy;BDS;Brindisi
Gbadolite;Congo (the Democratic Republic of the);BDT;
Bardufoss;Norway;BDU;Bardufoss
Moba;Congo (the Democratic Republic of the);BDV;
Bedford Downs, WA;Australia;BDW;
Broadus, MT;USA;BDX;
State, OR;USA;BDY;Bandon
Baindoung;Papua New Guin;BDZ;
Bereina;Papua New Guin;BEA;
Benbecula;United Kingdom of Great Britain and Northern Ireland;BEB;Benbecula
Beech, KS;USA;BEC;Wichita
Laurence G.;USA;BED;Bedford
Beagle Bay, WA;Australia;BEE;
Bluefields;Nicaragua;BEF;
Belgrade;Serbia ;BEG;Belgrade
Ross Field, MI;USA;BEH;Benton Harbor
Beica;Ethiopia;BEI;
Berau;Indonesia;BEJ;Berau
Bareilly;India;BEK;
Belem;Brasil;BEL;Belem
Bossembele;Central Africa;BEM;
Benghazi;Libya;BEN;Benghazi
Belmont, NS;Australia;BEO;Newcastle
Bellary;India;BEP;
Honington (Bury St. Edmunds);United Kingdom of Great Britain and Northern Ireland;BEQ;Honington
Berlin Brandenburg;Germany;BER;Berlin
Brest;France;BES;Brest
Bethel, AK;USA;BET;
Bedourie, QL;Australia;BEU;
Teyman;Israel;BEV;Beer-Sheba
Beira;Mozambique;BEW;Beira
RAF;United Kingdom of Great Britain and Northern Ireland;BEX;Benson
Beirut;Lebanon;BEY;Beirut
Beru;Kiribati;BEZ;
Blue Fox Bay, AK;USA;BFB;
Bloomfield, QL;Australia;BFC;
Regional, PA;USA;BFD;Bradford
Bielefeld;Germany;BFE;Bielefeld
William B. Heilig Fiel;USA;BFF;Scottsbluff
Bullfrog Basin, UT;USA;BFG;
Bacacheri, MG;Brazil;BFH;Curitiba
Seattle;USA;BFI;Seattle
Ba;Fiji;BFJ;
Buckley ANG Base, CO;USA;BFK;Denver
Bakersfield;USA;BFL;Bakersfield
Mobile;USA;BFM;Mobile
J.B.M. Hertzog;South Africa;BFN;Bloemfontein
Buffalo Range;Zimbabwe;BFO;Chiredzi
Beaver Falls, PA;USA;BFP;
Bahia Pinas;Panama;BFQ;
Virgil I Grissom Municipal;USA;BFR;Bedford
Belfast Intl Airport;United Kingdom of Great Britain and Northern Ireland;BFS;Belfast
County, SC;USA;BFT;Beaufort
Bengbu;China;BFU;
Buri Ram;Thailand;BFV;
Bafoussam;Cameroon;BFX;
Bucaramanga, ST;Colombia;BGA;
Booue;Gabon;BGB;
Braganca;Portugal;BGC;Braganca
Borger, TX;USA;BGD;
Decatur County, GA;USA;BGE;Bainbridge
Bangui;Central African Republic;BGF;Bangui
Bongouanou;Côte d'Ivoire;BGG;
Abbaye;Mauritania;BGH;Bogue
Bridgetown;Barbados;BGI;Bridgetown
Borgarfjordur Eystri;Iceland;BGJ;
Big Creek;Belize;BGK;
Baglung;Nepal;BGL;
Binghamton;USA;BGM;Binghamton
Bruggen;Germany;BGN;Bruggen
Bergen;Norway;BGO;Bergen
Bongo;Gabon;BGP;
Big Lake, AK;USA;BGQ;
Bangor;USA;BGR;Bangor
Webb AFB, TX;USA;BGS;Big Spring
Bagdad, AZ;USA;BGT;
Bangassou;Central Africa;BGU;
Bento Goncalves, RS;Brazil;BGV;
Baghdad;Iraq;BGW;Baghdad
Comandant Gustavo Kraemer, RS;Brazil;BGX;Bage
Milan Bergamo;Italy;BGY;Milan
Braga;Portugal;BGZ;
Bahia de Caraquez;Ecuador;BHA;
Hancock County, ME;USA;BHB;Bar Harbor
Bhurban;Pakistan;BHC;
Belfast City Airport;United Kingdom of Great Britain and Northern Ireland;BHD;Belfast
Blenheim;New Zealand;BHE;
Cupica, CH;Colombia;BHF;
Brus Laguna;Honduras;BHG;
Bisha;Saudia Arabia;BHH;
Bahia Blanca;Argentina;BHI;Bahia Blanca
Bhuj;India;BHJ;Bhuj
Bukhara;Uzbekistan;BHK;Bukhara
Bahia Angeles;Mexico;BHL;
