aircraftType_iataMain;aircraftType_iataSub;route;codeshares;flight_states;eu;visa;flightDirection;flightName;flightNumber;gate;pier;id;isOperationalFlight;mainFlight;prefixIATA;prefixICAO;airlineCode;aircraftRegistration;serviceType;terminal;estimatedLandingTime;lastUpdatedAt;actualLandingTime;scheduleDateTime;actualOffBlockTime;expectedTimeBoarding;expectedTimeGateClosing;expectedTimeGateOpening;expectedTimeOnBelt;expectedSecurityFilter;publicEstimatedOffBlockTime
;;RAK;KL2626;;N;False;A;KL2626;2626;E6;E;145009203349251922;True;HV5754;KL;KLM;100.0;PHYHX;J;3.0;2026-05-26 22:35:46+00:00;2026-05-26 23:41:57.926000+00:00;2026-05-26 22:35:46+00:00;2026-05-26 22:50:00+00:00;;;;;2026-05-27 00:11:57.796000+00:00;;
;;PMI;KL2676;;S;False;A;HV5624;5624;D81;D;145009202970975314;True;HV5624;HV;TRA;164.0;PHHBN;J;1.0;2026-05-26 22:31:19+00:00;2026-05-26 23:32:52.013000+00:00;2026-05-26 22:31:19+00:00;2026-05-26 22:55:00+00:00;;;;;2026-05-26 23:30:17+00:00;;
;;PMI;KL2676;;S;False;A;KL2676;2676;D81;D;145009203349252292;True;HV5624;KL;KLM;100.0;PHHBN;J;1.0;2026-05-26 22:31:19+00:00;2026-05-26 23:32:52.013000+00:00;2026-05-26 22:31:19+00:00;2026-05-26 22:55:00+00:00;;;;;2026-05-26 23:30:17+00:00;;
;;LPA;;;S;False;A;OR1634;1634;Z10;Z;145009203926392274;True;OR1634;OR;TFL;231.0;PHTFO;J;1.0;2026-05-26 22:42:40+00:00;2026-05-26 23:39:09.647000+00:00;2026-05-26 22:42:40+00:00;2026-05-26 23:05:00+00:00;;;;;2026-05-26 23:37:14+00:00;;
;;BRI;KL2531;;S;False;A;HV5820;5820;D87;D;145009202970980782;True;HV5820;HV;TRA;164.0;PHHXA;J;1.0;2026-05-26 22:50:51+00:00;2026-05-26 23:44:01.879000+00:00;2026-05-26 22:50:51+00:00;2026-05-26 23:10:00+00:00;;;;;2026-05-26 23:47:22+00:00;;
;;BRI;KL2531;;S;False;A;KL2531;2531;D87;D;145009203349249248;True;HV5820;KL;KLM;100.0;PHHXA;J;1.0;2026-05-26 22:50:51+00:00;2026-05-26 23:44:01.879000+00:00;2026-05-26 22:50:51+00:00;2026-05-26 23:10:00+00:00;;;;;2026-05-26 23:47:22+00:00;;
;;FUE;;;S;False;A;OR1604;1604;D66;D;145009203926392052;True;OR1604;OR;TFL;231.0;PHTFR;J;1.0;2026-05-26 23:06:44+00:00;2026-05-26 23:42:55.958000+00:00;2026-05-26 23:06:44+00:00;2026-05-26 23:15:00+00:00;;;;;2026-05-26 23:41:11+00:00;;
;;AYT;;;N;False;A;OR3026;3026;G4;G;145009203926578388;True;OR3026;OR;TFL;231.0;EIFFB;J;3.0;2026-05-27 00:32:12+00:00;2026-05-26 23:37:35.686000+00:00;;2026-05-26 23:45:00+00:00;;;;;;;
;;DLM;;;N;False;A;CD5128;5128;E4;E;145009202210052266;True;CD5128;CD;CND;4982.0;PHCDP;C;3.0;2026-05-26 23:46:35+00:00;2026-05-26 23:42:05.879000+00:00;;2026-05-26 23:50:00+00:00;;;;;;;
;;IBZ;KL2750;;S;False;A;HV6342;6342;D79;D;145009202971068550;True;HV6342;HV;TRA;164.0;PHHZN;J;1.0;2026-05-26 23:54:47+00:00;2026-05-26 23:44:41.012000+00:00;;2026-05-26 23:50:00+00:00;;;;;;;
;;IBZ;KL2750;;S;False;A;KL2750;2750;D79;D;145009203349254870;True;HV6342;KL;KLM;100.0;PHHZN;J;1.0;2026-05-26 23:54:47+00:00;2026-05-26 23:44:41.012000+00:00;;2026-05-26 23:50:00+00:00;;;;;;;
;;AGP;KL2699;;S;False;A;HV6228;6228;C7;C;145009202971065676;True;HV6228;HV;TRA;164.0;PHYHP;J;1.0;2026-05-27 00:07:05+00:00;2026-05-26 23:34:26.080000+00:00;;2026-05-27 00:35:00+00:00;;;;;;;
;;AGP;KL2699;;S;False;A;KL2699;2699;C7;C;145009203349252446;True;HV6228;KL;KLM;100.0;PHYHP;J;1.0;2026-05-27 00:07:05+00:00;2026-05-26 23:34:26.080000+00:00;;2026-05-27 00:35:00+00:00;;;;;;;
;;LEJ;;;S;False;A;QY1446;1446;;;145009204230000958;True;QY1446;QY;BCS;289.0;;F;;2026-05-27 02:46:59+00:00;2026-05-26 23:42:32.210000+00:00;;2026-05-27 03:00:00+00:00;;;;;;;
;;ICN;AF3112,SK6867;;N;False;A;AF3112;3112;E9;E;145009201939970384;True;KL0856;AF;AFR;80.0;PHBHE;J;;2026-05-27 03:00:31+00:00;2026-05-26 23:42:00.318000+00:00;;2026-05-27 03:10:00+00:00;;;;;;;
;;FAO;KL2667;;S;False;D;HV5355;5355;D81;D;145009202970967325;True;HV5355;HV;TRA;164.0;PHYHX;J;1.0;;2026-05-26 22:21:31.577000+00:00;;2026-05-27 03:10:00+00:00;;;;;;;
;;ICN;AF3112,SK6867;;N;False;A;KL0856;856;E9;E;145009203349055008;True;KL0856;KL;KLM;100.0;PHBHE;J;;2026-05-27 03:00:31+00:00;2026-05-26 23:42:00.318000+00:00;;2026-05-27 03:10:00+00:00;;;;;;;
;;FAO;KL2667;;S;False;D;KL2667;2667;D81;D;145009203349252221;True;HV5355;KL;KLM;100.0;PHYHX;J;1.0;;2026-05-26 22:21:31.577000+00:00;;2026-05-27 03:10:00+00:00;;;;;;;
;;ICN;AF3112,SK6867;;N;False;A;SK6867;6867;E9;E;145009204455417910;True;KL0856;SK;SAS;150.0;PHBHE;J;;2026-05-27 03:00:31+00:00;2026-05-26 23:42:00.318000+00:00;;2026-05-27 03:10:00+00:00;;;;;;;
;;CDG;;;S;False;A;FX4235;4235;;;145009202700983948;True;FX4235;FX;FDX;5326.0;;F;;2026-05-27 03:12:00+00:00;2026-05-26 17:00:56.621000+00:00;;2026-05-27 03:20:00+00:00;;;;;;;
;;ZTH;;;S;False;D;HV6083;6083;C9;C;145009202971060635;True;HV6083;HV;TRA;164.0;PHYHW;J;1.0;;2026-05-26 22:21:48.389000+00:00;;2026-05-27 03:20:00+00:00;;;;;;;
;;RAK;KL2623;;N;False;D;HV5751;5751;D4;D;145009202970978269;True;HV5751;HV;TRA;164.0;PHYHZ;J;1.0;;2026-05-26 22:21:59.227000+00:00;;2026-05-27 03:25:00+00:00;;;;;;;
;;RAK;KL2623;;N;False;D;KL2623;2623;D4;D;145009203349251917;True;HV5751;KL;KLM;100.0;PHYHZ;J;1.0;;2026-05-26 22:21:59.227000+00:00;;2026-05-27 03:25:00+00:00;;;;;;;
;;JMK;;;S;False;D;HV6463;6463;D79;D;145009202971071439;True;HV6463;HV;TRA;164.0;PHHBN;J;1.0;;2026-05-26 22:20:57.874000+00:00;;2026-05-27 03:30:00+00:00;;;;;;;
;;BOS;AF3615,KL6095,VS3914;;N;False;A;AF3615;3615;E7;E;145009201939984080;True;DL0256;AF;AFR;80.0;N437DX;J;;2026-05-27 03:31:00+00:00;2026-05-26 21:03:58.059000+00:00;;2026-05-27 03:40:00+00:00;;;;;;;
;;BOS;AF3615,KL6095,VS3914;;N;False;A;DL0256;256;E7;E;145009202378223182;True;DL0256;DL;DAL;58.0;N437DX;J;;2026-05-27 03:31:00+00:00;2026-05-26 21:03:58.059000+00:00;;2026-05-27 03:40:00+00:00;;;;;;;
;;BOS;;;N;False;A;DL256;256;;;145009201791965360;False;DL256;DL;;;;J;;;2026-01-05 13:56:44.904000+00:00;;2026-05-27 03:40:00+00:00;;;;;;;
;;ALC;KL2641;;S;False;D;HV6143;6143;D85;D;145009202971063077;True;HV6143;HV;TRA;164.0;PHHXA;J;1.0;;2026-05-26 22:50:42.412000+00:00;;2026-05-27 03:40:00+00:00;;;;;;;
;;ALC;KL2641;;S;False;D;KL2641;2641;D85;D;145009203349252061;True;HV6143;KL;KLM;100.0;PHHXA;J;1.0;;2026-05-26 22:50:42.412000+00:00;;2026-05-27 03:40:00+00:00;;;;;;;
;;BOS;AF3615,KL6095,VS3914;;N;False;A;KL6095;6095;E7;E;145009203349641234;True;DL0256;KL;KLM;100.0;N437DX;J;;2026-05-27 03:31:00+00:00;2026-05-26 21:03:58.059000+00:00;;2026-05-27 03:40:00+00:00;;;;;;;
;;BOS;AF3615,KL6095,VS3914;;N;False;A;VS3914;3914;E7;E;145009204901166672;True;DL0256;VS;VIR;181.0;N437DX;J;;2026-05-27 03:31:00+00:00;2026-05-26 21:03:58.059000+00:00;;2026-05-27 03:40:00+00:00;;;;;;;
;;BRI;KL2535;;S;False;D;HV5817;5817;B31;B;145009202970980723;True;HV5817;HV;TRA;164.0;PHHXF;J;1.0;;2026-05-26 22:21:16.411000+00:00;;2026-05-27 03:50:00+00:00;;;;;;;
;;KLX;;;S;False;D;HV6739;6739;D83;D;145009202971079443;True;HV6739;HV;TRA;164.0;OYRUU;J;1.0;;2026-05-26 22:22:37.655000+00:00;;2026-05-27 03:50:00+00:00;;;;;;;
;;BRI;KL2535;;S;False;D;KL2535;2535;B31;B;145009203349249257;True;HV5817;KL;KLM;100.0;PHHXF;J;1.0;;2026-05-26 22:21:16.411000+00:00;;2026-05-27 03:50:00+00:00;;;;;;;
;;OHD;;;N;False;D;OR3503;3503;D16;D;145009203926591925;True;OR3503;OR;TFL;231.0;PHTFP;J;3.0;;2026-05-26 22:20:56.906000+00:00;;2026-05-27 03:50:00+00:00;;;;;;;
;;LOS;AF5479,DL9614;;N;False;A;AF5479;5479;E5;E;145009201940181668;True;KL0588;AF;AFR;80.0;PHAOB;J;;2026-05-27 03:42:00+00:00;2026-05-26 21:29:12.147000+00:00;;2026-05-27 03:55:00+00:00;;;;;;;
;;LOS;AF5479,DL9614;;N;False;A;DL9614;9614;E5;E;145009202379145588;True;KL0588;DL;DAL;58.0;PHAOB;J;;2026-05-27 03:42:00+00:00;2026-05-26 21:29:12.147000+00:00;;2026-05-27 03:55:00+00:00;;;;;;;
;;BCN;;;S;False;D;HV5131;5131;D77;D;145009202970961693;True;HV5131;HV;TRA;164.0;PHHZN;J;1.0;;2026-05-26 22:50:42.591000+00:00;;2026-05-27 03:55:00+00:00;;;;;;;
;;LOS;AF5479,DL9614;;N;False;A;KL0588;588;E5;E;145009203349047020;True;KL0588;KL;KLM;100.0;PHAOB;J;;2026-05-27 03:42:00+00:00;2026-05-26 21:29:12.147000+00:00;;2026-05-27 03:55:00+00:00;;;;;;;
;;ATL;AF3652,KL6071,VS4054;;N;False;A;AF3652;3652;F6;F;145009201939984370;True;DL0070;AF;AFR;80.0;N401DZ;J;;2026-05-27 04:10:00+00:00;2026-05-26 19:57:32.214000+00:00;;2026-05-27 04:00:00+00:00;;;;;;;
;;DTW;AF5606,KL6018,VS3929;;N;False;A;AF5606;5606;F4;F;145009201940186620;True;DL0132;AF;AFR;80.0;N502DN;J;;2026-05-27 03:44:00+00:00;2026-05-26 20:30:02.014000+00:00;;2026-05-27 04:00:00+00:00;;;;;;;
;;JFK;AF6715,DL9357,VS7126;;N;False;A;AF6715;6715;E19;E;145009201940290736;True;KL0642;AF;AFR;80.0;PHBKP;J;;2026-05-27 03:40:00+00:00;2026-05-26 21:04:46.820000+00:00;;2026-05-27 04:00:00+00:00;;;;;;;
;;YYZ;AF8266,DL9699,VS7164;;N;False;A;AF8266;8266;E8;E;145009201940480030;True;KL0692;AF;AFR;80.0;PHBKQ;J;;2026-05-27 03:25:00+00:00;2026-05-26 20:50:44.917000+00:00;;2026-05-27 04:00:00+00:00;;;;;;;
;;ATL;AF3652,KL6071,VS4054;;N;False;A;DL0070;70;F6;F;145009202378217842;True;DL0070;DL;DAL;58.0;N401DZ;J;;2026-05-27 04:10:00+00:00;2026-05-26 19:57:32.214000+00:00;;2026-05-27 04:00:00+00:00;;;;;;;
;;DTW;AF5606,KL6018,VS3929;;N;False;A;DL0132;132;F4;F;145009202378220288;True;DL0132;DL;DAL;58.0;N502DN;J;;2026-05-27 03:44:00+00:00;2026-05-26 20:30:02.014000+00:00;;2026-05-27 04:00:00+00:00;;;;;;;
;;ATL;;;N;False;A;DL070;70;;;145009201791960020;False;DL070;DL;;;;J;;;2026-01-05 13:54:11.340000+00:00;;2026-05-27 04:00:00+00:00;;;;;;;
;;JFK;AF6715,DL9357,VS7126;;N;False;A;DL9357;9357;E19;E;145009202379137676;True;KL0642;DL;DAL;58.0;PHBKP;J;;2026-05-27 03:40:00+00:00;2026-05-26 21:04:46.820000+00:00;;2026-05-27 04:00:00+00:00;;;;;;;
;;YYZ;AF8266,DL9699,VS7164;;N;False;A;DL9699;9699;E8;E;145009202379146190;True;KL0692;DL;DAL;58.0;PHBKQ;J;;2026-05-27 03:25:00+00:00;2026-05-26 20:50:44.917000+00:00;;2026-05-27 04:00:00+00:00;;;;;;;
;;IBZ;KL2681;;S;False;D;HV5673;5673;C12;C;145009202970975683;True;HV5673;HV;TRA;164.0;PHYHD;J;1.0;;2026-05-26 22:20:29.998000+00:00;;2026-05-27 04:00:00+00:00;;;;;;;
;;JFK;AF6715,DL9357,VS7126;;N;False;A;KL0642;642;E19;E;145009203349049450;True;KL0642;KL;KLM;100.0;PHBKP;J;;2026-05-27 03:40:00+00:00;2026-05-26 21:04:46.820000+00:00;;2026-05-27 04:00:00+00:00;;;;;;;
;;YYZ;AF8266,DL9699,VS7164;;N;False;A;KL0692;692;E8;E;145009203349049820;True;KL0692;KL;KLM;100.0;PHBKQ;J;;2026-05-27 03:25:00+00:00;2026-05-26 20:50:44.917000+00:00;;2026-05-27 04:00:00+00:00;;;;;;;
;;IBZ;KL2681;;S;False;D;KL2681;2681;C12;C;145009203349252357;True;HV5673;KL;KLM;100.0;PHYHD;J;1.0;;2026-05-26 22:20:29.998000+00:00;;2026-05-27 04:00:00+00:00;;;;;;;
;;DTW;AF5606,KL6018,VS3929;;N;False;A;KL6018;6018;F4;F;145009203349640648;True;DL0132;KL;KLM;100.0;N502DN;J;;2026-05-27 03:44:00+00:00;2026-05-26 20:30:02.014000+00:00;;2026-05-27 04:00:00+00:00;;;;;;;
;;ATL;AF3652,KL6071,VS4054;;N;False;A;KL6071;6071;F6;F;145009203349641078;True;DL0070;KL;KLM;100.0;N401DZ;J;;2026-05-27 04:10:00+00:00;2026-05-26 19:57:32.214000+00:00;;2026-05-27 04:00:00+00:00;;;;;;;
;;DTW;AF5606,KL6018,VS3929;;N;False;A;VS3929;3929;F4;F;145009204901166756;True;DL0132;VS;VIR;181.0;N502DN;J;;2026-05-27 03:44:00+00:00;2026-05-26 20:30:02.014000+00:00;;2026-05-27 04:00:00+00:00;;;;;;;
;;ATL;AF3652,KL6071,VS4054;;N;False;A;VS4054;4054;F6;F;145009204901243632;True;DL0070;VS;VIR;181.0;N401DZ;J;;2026-05-27 04:10:00+00:00;2026-05-26 19:57:32.214000+00:00;;2026-05-27 04:00:00+00:00;;;;;;;
;;JFK;AF6715,DL9357,VS7126;;N;False;A;VS7126;7126;E19;E;145009204901550070;True;KL0642;VS;VIR;181.0;PHBKP;J;;2026-05-27 03:40:00+00:00;2026-05-26 21:04:46.820000+00:00;;2026-05-27 04:00:00+00:00;;;;;;;
;;YYZ;AF8266,DL9699,VS7164;;N;False;A;VS7164;7164;E8;E;145009204901550362;True;KL0692;VS;VIR;181.0;PHBKQ;J;;2026-05-27 03:25:00+00:00;2026-05-26 20:50:44.917000+00:00;;2026-05-27 04:00:00+00:00;;;;;;;
;;HKG;AF8404,QF4217;;N;False;A;AF8404;8404;E3;E;145009201940485058;True;KL0888;AF;AFR;80.0;PHBHH;J;;2026-05-27 03:30:00+00:00;2026-05-26 14:39:49.849000+00:00;;2026-05-27 04:05:00+00:00;;;;;;;
;;HKG;AF8404,QF4217;;N;False;A;KL0888;888;E3;E;145009203349055234;True;KL0888;KL;KLM;100.0;PHBHH;J;;2026-05-27 03:30:00+00:00;2026-05-26 14:39:49.849000+00:00;;2026-05-27 04:05:00+00:00;;;;;;;
;;HKG;AF8404,QF4217;;N;False;A;QF4217;4217;E3;E;145009204159081062;True;KL0888;QF;QFA;205.0;PHBHH;J;;2026-05-27 03:30:00+00:00;2026-05-26 14:39:49.849000+00:00;;2026-05-27 04:05:00+00:00;;;;;;;
;;ZTH;;;S;False;D;HV5093;5093;C5;C;145009202970959403;True;HV5093;HV;TRA;164.0;PHYHV;J;1.0;;2026-05-26 22:22:37.436000+00:00;;2026-05-27 04:15:00+00:00;;;;;;;
;;OLB;KL2615;;S;False;D;HV6917;6917;C15;C;145009202971084767;True;HV6917;HV;TRA;164.0;PHHXD;J;1.0;;2026-05-26 22:22:37.860000+00:00;;2026-05-27 04:15:00+00:00;;;;;;;
;;OLB;KL2615;;S;False;D;KL2615;2615;C15;C;145009203349251847;True;HV6917;KL;KLM;100.0;PHHXD;J;1.0;;2026-05-26 22:22:37.860000+00:00;;2026-05-27 04:15:00+00:00;;;;;;;
;;VLC;KL2523;;S;False;D;HV6337;6337;C14;C;145009202971068487;True;HV6337;HV;TRA;164.0;PHHZI;J;1.0;;2026-05-26 22:21:53.966000+00:00;;2026-05-27 04:20:00+00:00;;;;;;;
;;TIA;KL2607;;N;False;D;HV6935;6935;D3;D;145009202971084911;True;HV6935;HV;TRA;164.0;PHYHU;J;1.0;;2026-05-26 22:22:25.050000+00:00;;2026-05-27 04:20:00+00:00;;;;;;;
;;VLC;KL2523;;S;False;D;KL2523;2523;C14;C;145009203349249179;True;HV6337;KL;KLM;100.0;PHHZI;J;1.0;;2026-05-26 22:21:53.966000+00:00;;2026-05-27 04:20:00+00:00;;;;;;;
;;TIA;KL2607;;N;False;D;KL2607;2607;D3;D;145009203349251777;True;HV6935;KL;KLM;100.0;PHYHU;J;1.0;;2026-05-26 22:22:25.050000+00:00;;2026-05-27 04:20:00+00:00;;;;;;;
;;PMI;;;S;False;D;OR1503;1503;D68;D;145009203926389313;True;OR1503;OR;TFL;231.0;PHTFR;J;3.0;;2026-05-26 22:21:05.994000+00:00;;2026-05-27 04:20:00+00:00;;;;;;;
;;FNC;DL7480,KL2697;;S;False;D;DL7480;7480;C11;C;145009202378938011;True;HV6629;DL;DAL;58.0;PHYHE;J;1.0;;2026-05-26 22:20:44.532000+00:00;;2026-05-27 04:25:00+00:00;;;;;;;
;;LPA;KL2691;;S;False;D;HV5663;5663;C7;C;145009202970975609;True;HV5663;HV;TRA;164.0;PHYHP;J;1.0;;2026-05-26 22:21:07.198000+00:00;;2026-05-27 04:25:00+00:00;;;;;;;
;;FNC;DL7480,KL2697;;S;False;D;HV6629;6629;C11;C;145009202971076631;True;HV6629;HV;TRA;164.0;PHYHE;J;1.0;;2026-05-26 22:20:44.532000+00:00;;2026-05-27 04:25:00+00:00;;;;;;;
;;LPA;KL2691;;S;False;D;KL2691;2691;C7;C;145009203349252431;True;HV5663;KL;KLM;100.0;PHYHP;J;1.0;;2026-05-26 22:21:07.198000+00:00;;2026-05-27 04:25:00+00:00;;;;;;;
;;FNC;DL7480,KL2697;;S;False;D;KL2697;2697;C11;C;145009203349252443;True;HV6629;KL;KLM;100.0;PHYHE;J;1.0;;2026-05-26 22:20:44.532000+00:00;;2026-05-27 04:25:00+00:00;;;;;;;
;;FNC;;;S;False;D;OR1741;1741;D66;D;145009203926395081;True;OR1741;OR;TFL;231.0;PHTFO;J;3.0;;2026-05-26 22:20:26.405000+00:00;;2026-05-27 04:25:00+00:00;;;;;;;
;;DXB;;;N;False;A;KL0428;428;;;145009203349043838;False;KL0428;KL;;;;J;;;2026-04-14 09:04:06.651000+00:00;;2026-05-27 04:30:00+00:00;;;;;;;
;;CAN;;;N;False;A;CZ0307;307;E17;E;145009202292014146;True;CZ0307;CZ;CSN;43.0;B309W;J;;2026-05-27 03:54:00+00:00;2026-05-26 17:30:19.944000+00:00;;2026-05-27 04:35:00+00:00;;;;;;;
;;BCN;DL9299,G35525;;S;False;D;DL9299;9299;B20;B;145009202379135239;True;KL1497;DL;DAL;58.0;DAWSI;J;1.0;;2026-05-26 22:22:48.125000+00:00;;2026-05-27 04:35:00+00:00;;2026-05-27 04:10:00+00:00;2026-05-27 04:20:00+00:00;;;;
